Unnamed: 0,RR9_TMS_FLT_F1,RR9_TMS_FLT_F6,RR9_TMS_FLT_F7,RR9_TMS_FLT_F3,RR9_TMS_FLT_F5,RR9_TMS_FLT_F2,RR9_TMS_FLT_F8,RR9_TMS_FLT_F4,RR9_TMS_FLT_F10,RR9_TMS_FLT_F9,RR9_TMS_GC_G4,RR9_TMS_GC_G10,RR9_TMS_GC_G1,RR9_TMS_GC_G7,RR9_TMS_GC_G6,RR9_TMS_GC_G9,RR9_TMS_GC_G8,RR9_TMS_GC_G3,RR9_TMS_GC_G2,RR9_TMS_GC_G5
Cdca7l,0.0,12.2464572934788,3.10491407204385,2.98485708203888,0.0,5.60679507411138,9.1556486948982,1.41503906668427,0.0,0.508798663856877,22.39528239972,62.1079239045517,33.7377380521671,29.8560409573465,8.5826439603253,0.0,15.9357260866219,25.3882925649879,18.8727910173174,21.189380437082
Efcab11,8.13463324938606,35.2983352835546,4.10832741218925,7.70765951620275,0.0,0.0,0.0,0.0,6.01863035620163,0.0,17.7980569728862,56.4080641016574,21.5029196202662,7.45388515540693,17.2506454059535,13.3414622004685,65.1149680560658,16.0175016893702,25.3953684824737,34.0698953914032
Psmc1,380.206300859633,369.401909098517,547.96952694564,617.675280760582,420.751873324907,553.794885766826,335.712861750725,423.573434319429,241.845348254265,479.365859849151,581.232157040769,509.113536015623,779.14622664917,520.136406586018,360.711978310687,731.859370935906,563.726231404778,462.878926006752,495.890619560172,732.261914926962
Trip11,329.721211636286,419.098430355812,394.33246783022,529.144224010512,638.218301834586,502.90436011414,328.42207867078,635.47506281793,412.548224132516,469.664429276494,394.902243890515,542.199145742157,556.395190700622,265.664296059889,444.980471266593,263.107989390063,484.566228740506,229.980596590589,258.429642360575,344.746070509279
Lgmn,212.42998992601,117.348158820379,163.074489482802,206.752220722828,235.260380165399,286.42653022012,127.479617010141,202.628939594612,134.694548417129,148.100370965603,142.024029675105,55.1492649552123,47.7790498307703,100.835401263249,74.0792620569957,125.770014743388,46.8008623449996,89.8151078007709,61.0350876859382,56.7781193368092
Net1,332.816784782337,155.957894745601,193.631571546323,365.052623562643,331.603297881474,204.0772581609,205.58797329889,275.85917407693,226.954907171798,205.055894865474,150.251964429487,96.1209353805641,233.264360362483,240.577855540675,146.350633652301,185.97354121876,140.583235100619,184.375780024259,256.255825980522,153.130777376981
Tnfaip2,23.6116726674505,47.7109061473363,24.9659660093752,38.884891934257,50.8262202470217,1.40970253680867,143.038103690195,10.6734251977019,52.3695081437746,37.6139178461759,6.56605490902648,53.6747153976323,38.5053991742673,12.8306083649426,3.53115975547926,16.5220933892347,8.01330480341393,37.6296375353035,21.0207617807169,24.6944711002662
Zkscan3,583.836995389678,507.169467006153,507.236393141952,195.036983277088,490.860694351662,330.357045227746,372.742944298042,432.57621863282,353.456893932441,390.869471639568,305.03857984844,486.588280595855,234.293304751821,331.267558745703,493.91556866062,225.381262536584,249.690967826673,250.763567523436,201.291044461588,150.609635097047
Gcnt2,17.1202555229639,25.9390367442293,193.941273137986,9.62427198445212,0.0,25.4225042955626,18.0136282624806,72.558355152743,45.8066824050657,5.64687915834293,11.0846022961844,27.3145313089815,6.46341122116761,10.2168296417778,0.0,2.31618099925532,5.68769378789889,3.18232126260164,29.7425927036619,23.07389398285
Dek,651.239991241819,756.494998333538,554.947720850833,822.58098930372,415.411695399155,542.21463407392,531.694376848975,644.02458045302,639.529818259111,646.998742328628,1155.86482315106,1268.3074560558,1823.12414135921,1206.48268365142,1414.35588240384,814.149818050976,1747.48283294766,1540.15988374296,1780.14537745286,1974.34623086344
Id4,221.573765746484,80.0328699243898,73.1538468797355,148.375548455063,110.953419772852,50.0815559602595,52.0488039946626,54.9547405110161,182.437025267464,51.3744774521995,65.7125285810873,79.7563920054439,42.7745992771211,52.5048341346864,27.8776066181512,29.2872604844018,19.1501374253669,36.6500208303985,40.9767518309152,41.3754369301271
Aspn,57.3319930515458,9.76505686139005,32.1720850568628,37.1146184795225,28.3976209715978,2.17860361953974,32.7885154384387,107.767119362076,0.0,25.3062791968673,16.7599229097789,2.24778610861557,2.10482901258522,14.8844643874642,13.3395067859321,20.9310862606327,2.80397887535777,3.56427835080176,21.1033852475567,14.829936883848
Cenpp,8.17447652276638,39.6821796215802,36.9856679019293,43.4170945054458,57.9745072442585,0.0,35.0650153283569,39.9842756643672,2.09875023254914,18.6081420839763,77.8171987064636,74.5559587073187,171.838347872029,93.2860627981205,81.7001060405515,142.419961991702,87.6385869149789,97.1256709640331,91.104940240059,94.9627504950727
Prpf4b,1505.07023808897,716.510964002518,939.738659539189,1006.12251508355,1620.96054601261,2277.83806864007,1813.46388929351,1428.49176357853,1032.2926082198,1382.84137824362,900.555177027246,1214.78673971726,885.152340251735,715.244173900014,1096.38995664634,1067.53805048769,1077.74650466281,754.760018632572,542.480623920944,593.490709013235
Mxd3,3.656513793611,3.830521697326,20.5079522180171,1.10903703364515,5.14522868839421,8.33223050104551,0.0,4.20568789310723,7.55578534373428,11.3428897181923,171.290859678625,40.0512968134215,96.8017857266804,137.872547589345,96.2345805506605,189.584923809547,197.858850534907,128.06311623282,126.33046965698,176.611954506902
Prelid1,97.9428389273196,340.062710188024,387.619767500754,419.24353815854,247.903973253826,252.689546100051,394.071252671772,388.455572052755,368.556140807296,347.819143682969,370.818456507363,387.824141643324,824.693667837956,443.815559674218,496.293902216401,266.458337273867,696.744949978542,527.070737861689,506.064048423193,628.248367565772
Fam193b,419.270948008081,408.201701573516,232.301201248185,165.338913480284,419.11266705484,646.824556293472,190.818062047329,303.331755574718,298.499696795772,291.799079074374,275.406793559789,219.66356562715,307.716673323325,149.763691207626,427.213117911542,289.495554329805,239.635585681658,246.874024462522,119.173593878451,126.471153671862
Rasa1,663.854044058698,447.25182878186,560.214254104406,348.349999825253,659.443367791002,893.105527513703,694.027495311484,695.725539845025,345.015422887935,340.75725515743,252.56507946968,584.553504779387,535.253792696262,294.065011977175,725.282601019037,323.503654603281,495.295744908224,480.629920944276,248.160074631747,359.399678760238
Trip13,5.19058789018049,56.2864866840809,20.7536986563106,7.87619262321495,7.01184684195475,3.68924369830225,7.85815067478019,48.7439838747678,3.33344462889361,4.47694896270167,2.91935785005359,42.1678867513496,72.0937539805598,73.5987389752301,25.4159038268702,64.6335302530363,58.486036450448,45.0079769860739,43.134315864275,70.7895284264952
