Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[diet]	Comment[Feeding Schedule]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Protocol REF	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Parameter Value[habitat]	Parameter Value[Enrichment material]	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Weight]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[Launch Date]	Comment[Euthanasia and Dissection Date]	Comment[ALSDA Source Name]	Comment[ALSDA Biospecimen Subject ID]	Comment[ALSDA Biospecimen Source ID]
GC4	RR9_TMS_GC_G4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	30.17	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5/14/18	6/18/18	Thymus - half (GC)	585	6382
GC10	RR9_TMS_GC_G10	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	33.6	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5/14/18	6/18/18	Thymus - half (GC)	585	6382
GC1	RR9_TMS_GC_G1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	33.58	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5/14/18	6/18/18	Thymus - half (GC)	585	6382
GC7	RR9_TMS_GC_G7	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	27.89	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5/14/18	6/18/18	Thymus - half (GC)	585	6382
GC6	RR9_TMS_GC_G6	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	31.65	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5/14/18	6/18/18	Thymus - half (GC)	585	6382
GC9	RR9_TMS_GC_G9	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	32.58	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5/14/18	6/18/18	Thymus - half (GC)	585	6382
GC8	RR9_TMS_GC_G8	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	28.96	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5/14/18	6/18/18	Thymus - half (GC)	585	6382
GC3	RR9_TMS_GC_G3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	30.77	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5/14/18	6/18/18	Thymus - half (GC)	585	6382
GC2	RR9_TMS_GC_G2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	34.68	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5/14/18	6/18/18	Thymus - half (GC)	585	6382
GC5	RR9_TMS_GC_G5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Animal Husbandry	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Rodent Habitat	Hut	33	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Sample Collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	31.79	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5/14/18	6/18/18	Thymus - half (GC)	585	6382
