Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[diet]	Characteristics[Feeding Schedule]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[habitat]	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Weight]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[ALSDA Biospecimen Subject ID]	Comment[ALSDA Biospecimen Source ID]	Comment[ALSDA Source Name]	Comment[Euthanasia and Dissection Date (mm/dd/yyyy)]
261	SLS-2_TMS_GC_G10_Cut2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	SL-3 simulated cages	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	231	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	239	2432	Thymus-Rep 2	11/01/1993
278	SLS-2_TMS_GC_G11_Cut2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	SL-3 simulated cages	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	248	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	239	2432	Thymus-Rep 2	11/01/1993
274	SLS-2_TMS_GC_G12_Cut1_LibRep1	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	SL-3 simulated cages	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	240	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	239	2432	Thymus-Rep 1	11/01/1993
274	SLS-2_TMS_GC_G12_Cut1_LibRep2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	SL-3 simulated cages	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	240	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	239	2432	Thymus-Rep 1	11/01/1993
274	SLS-2_TMS_GC_G12_Cut1_LibRep3	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	SL-3 simulated cages	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	240	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	239	2432	Thymus-Rep 1	11/01/1993
274	SLS-2_TMS_GC_G12_Cut1_LibRep4	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	SL-3 simulated cages	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	240	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	239	2432	Thymus-Rep 1	11/01/1993
274	SLS-2_TMS_GC_G12_Cut2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	SL-3 simulated cages	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	240	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	239	2432	Thymus-Rep 2	11/01/1993
276	SLS-2_TMS_GC_G22_Cut2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	SL-3 simulated cages	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	228	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	236	2432	Thymus-Rep 2	11/01/1993
287	SLS-2_TMS_GC_G23_Cut2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	SL-3 simulated cages	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	216	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	236	2432	Thymus-Rep 2	11/01/1993
297	SLS-2_TMS_GC_G24_Cut2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Sprague-Dawley	MESH	http://purl.bioontology.org/ontology/MESH/D017207	Taconic Biosciences	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	~38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Teklad diet #93062 (with a red dye chaser)	ad libitum	thymus	EFO	http://purl.obolibrary.org/obo/UBERON_0002370	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	SL-3 simulated cages	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	233	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-70	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	236	2432	Thymus-Rep 2	11/01/1993
